eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.169212,120.561,42.8479,120.561,42.8479,-1.01668,0.789365,-1.01668,0.789365,110.933,190.668,1.97517,0.227313,437.631,380.765,0.169212,-1.00087,74.398,959.291,
1.88961,94.3208,31.2262,94.3208,31.2262,1.98416,0.865827,1.98416,0.865827,65.3838,124.783,2.82426,1.11833,652.124,552.242,1.88961,-0.112346,105.05,1858.77,
-2.02081,259.767,335.507,335.507,259.767,-1.77629,0.70663,0.70663,-1.77629,75.7573,1106.95,3.14698,1.06966,139.467,70.9778,-2.02081,1.42772,73.6649,575.486,
-0.65595,20.4894,86.2662,86.2662,20.4894,1.28838,-1.23542,-1.23542,1.28838,68.3513,159.321,3.58727,0.0529566,252.344,235.481,-0.65595,0.450773,157.979,542.756,
-0.0186537,299.316,155.532,299.316,155.532,1.82561,-0.0145125,1.82561,-0.0145125,177.171,618.825,2.6571,1.8111,271.818,101.388,-0.0186537,1.91984,234.481,475.041,
0.369861,59.6105,42.0281,59.6105,42.0281,-0.987788,0.924643,-0.987788,0.924643,97.9029,114.301,0.55247,0.0631455,991.472,560.701,0.369861,0.517282,432.444,1495.04,
0.808329,25.7605,707.26,707.26,25.7605,-0.0289259,0.128708,0.128708,-0.0289259,691.294,244.714,2.25362,-0.099782,989.304,986.066,0.808329,-0.915389,1221.46,2478.8,
0.692709,219.642,155.214,219.642,155.214,0.0624307,0.942278,0.0624307,0.942278,88.8695,400.946,3.47465,-0.879847,740.1,32.6551,0.692709,0.921502,712.346,334.265,
-0.898326,28.1635,584.811,584.811,28.1635,0.0733912,1.11547,1.11547,0.0733912,609.256,155.273,0.531582,-1.04207,865.398,88.0373,-0.898326,2.04772,785.059,1265.99,
2.0167,40.5124,74.8711,74.8711,40.5124,-0.514783,-1.22187,-1.22187,-0.514783,45.3519,113.302,3.68577,-0.707084,270.485,130.702,2.0167,-1.94999,148.747,1391.4,
-0.304269,140.443,112.136,140.443,112.136,1.64773,-0.511077,1.64773,-0.511077,30.086,411.835,3.22281,1.13665,429.313,88.6052,-0.304269,1.79727,343.319,624.911,
0.407563,114.057,127.282,127.282,114.057,0.997023,-0.255039,-0.255039,0.997023,15.9252,289.625,3.06794,0.741984,519.859,166.737,0.407563,0.155502,365.741,594.213,
2.17048,337.15,289.766,337.15,289.766,1.99614,0.874101,1.99614,0.874101,110.52,719.209,3.46241,1.12204,424.377,216.088,2.17048,-1.03783,311.578,1551.66,
0.0996874,340.253,69.7603,340.253,69.7603,1.52667,0.478773,1.52667,0.478773,276.446,346.737,3.51414,1.0479,516.577,76.7899,0.0996874,1.79279,450.368,541.509,
-0.404974,91.6792,33.6903,91.6792,33.6903,2.02001,-0.693042,2.02001,-0.693042,92.5323,218.508,1.72977,1.32696,324.033,174.879,-0.404974,1.55847,178.974,718.09,
-0.133395,632.983,28.0421,632.983,28.0421,-1.92615,-0.924057,-1.92615,-0.924057,637.724,222.778,1.42271,1.00209,1854.74,638.26,-0.133395,-0.505866,1309.3,2160.47,
-2.18906,143.319,100.295,143.319,100.295,-1.56886,1.32879,-1.56886,1.32879,45.1711,538.498,3.25643,0.240069,60.1819,38.8885,-2.18906,0.759939,23.8063,222.693,
-0.378637,196.351,42.8647,196.351,42.8647,1.03952,-0.176945,1.03952,-0.176945,163.474,211.112,2.51823,0.862572,126.408,33.461,-0.378637,1.45026,125.332,169.204,
-2.27478,34.5117,30.3319,34.5117,30.3319,-1.76464,-0.488529,-1.76464,-0.488529,34.0113,70.689,4.23909,1.27611,380.927,75.9368,-2.27478,-0.889923,306.226,426.104,
-0.100277,26.0557,35.0165,35.0165,26.0557,2.03234,-0.383699,-0.383699,2.03234,26.4498,107.27,2.29243,1.64864,476.099,104.394,-0.100277,0.737812,372.721,485.546,
-0.850636,473.576,407.521,473.576,407.521,-0.0344066,-0.185829,-0.0344066,-0.185829,660.59,586.845,1.45126,-0.151422,1643.86,731.722,-0.850636,-0.558551,914.911,2215.91,
-0.962134,34.4285,175.523,175.523,34.4285,-0.768157,1.25221,1.25221,-0.768157,154.291,233.581,2.31513,-0.484056,735.343,417.081,-0.962134,0.871549,319.532,1616.83,
1.95039,109.239,124.653,124.653,109.239,-0.341798,0.349469,0.349469,-0.341798,223.059,108.263,5.6707,-0.00767114,670.203,224.616,1.95039,0.168082,663.669,990.098,
-1.60087,54.1485,99.3983,99.3983,54.1485,-0.394515,-1.17781,-1.17781,-0.394515,52.6672,155.812,3.51103,-0.783299,441.519,400.692,-1.60087,-0.747618,72.3313,918.29,
2.19802,278.225,32.2739,278.225,32.2739,0.693378,1.61209,0.693378,1.61209,305.02,107.236,0.622837,-0.918717,1050.13,184.027,2.19802,0.219704,930.096,1316.91,
-1.37523,77.4175,30.7537,77.4175,30.7537,-2.18268,1.10658,-2.18268,1.10658,50.3667,261.445,2.75064,1.07609,104.685,92.8853,-1.37523,0.932832,16.7185,345.368,
1.38528,75.0118,140.676,140.676,75.0118,-0.488914,0.903625,0.903625,-0.488914,74.7973,254.79,2.79114,-0.414711,224.954,218.058,1.38528,-0.923518,126.338,762.409,
0.0548716,42.7971,68.6277,68.6277,42.7971,-2.35115,-0.303489,-0.303489,-2.35115,80.3805,152.384,1.58447,2.04766,669.564,183.495,0.0548716,-1.43611,489.788,906.079,
1.3198,53.0517,211.438,211.438,53.0517,1.30081,1.55399,1.55399,1.30081,195.977,179.639,1.98911,-0.253173,593.529,382.582,1.3198,-1.33833,372.854,1907.92,
-2.08719,95.8856,34.3482,95.8856,34.3482,-1.50299,2.15409,-1.50299,2.15409,83.0424,362.188,2.12702,-0.651095,245.468,168.416,-2.08719,0.902941,95.2108,951.021,
-1.70241,28.9011,124.464,124.464,28.9011,-0.466497,1.09735,1.09735,-0.466497,102.645,154.039,2.50631,-0.630848,164.007,97.4781,-1.70241,1.40347,130.178,614.89,
0.205202,99.1148,54.6134,99.1148,54.6134,1.22478,0.840471,1.22478,0.840471,49.4734,148.304,3.43646,0.384308,510.508,342.958,0.205202,1.86376,170.092,1141.62,
-1.83633,76.9542,62.2018,76.9542,62.2018,1.29819,-2.33355,1.29819,-2.33355,97.0379,425.836,1.60994,-1.03535,190.994,178.43,-1.83633,1.07872,72.2749,833.009,
-1.17417,192.515,70.9293,192.515,70.9293,0.699959,-0.522464,0.699959,-0.522464,135.939,272.027,2.61524,0.177495,858.926,539.167,-1.17417,-0.238605,321.133,1517.67,
-0.34925,125.428,59.1565,125.428,59.1565,2.17342,0.300213,2.17342,0.300213,87.2828,247.084,2.46961,1.87321,355.9,319.796,-0.34925,1.73384,92.9117,1076.24,
0.424977,75.0888,248.16,248.16,75.0888,0.792231,0.257816,0.257816,0.792231,175.782,281.141,2.91583,0.534415,222.348,99.9961,0.424977,0.521958,123.037,301.13,
-1.52459,272.3,134.758,272.3,134.758,-1.22023,0.00249341,-1.22023,0.00249341,137.77,456.904,3.183,1.21774,416.314,288.825,-1.52459,-0.00985958,168.875,896.106,
-0.121268,784.431,50.4401,784.431,50.4401,0.281734,0.0094346,0.281734,0.0094346,741.894,386.722,2.59171,0.2723,332.002,294.521,-0.121268,1.13765,625.519,423.555,
-1.36395,158.587,137.135,158.587,137.135,-1.12957,0.958563,-1.12957,0.958563,82.0826,464.128,3.68553,0.171003,489.849,120.459,-1.36395,1.1521,399.551,917.785,
-0.471551,42.5553,795.613,795.613,42.5553,-0.129284,-0.0340017,-0.0340017,-0.129284,800.035,250.553,1.49324,0.0952822,1165.3,444.428,-0.471551,-1.66239,1318.79,1297.75,
-0.982378,158.861,27.6449,158.861,27.6449,0.515812,-1.9147,0.515812,-1.9147,148.818,232.703,2.02509,-1.39888,366.93,327.523,-0.982378,0.900936,41.7007,1024.24,
-0.105043,427.353,48.1019,427.353,48.1019,0.255624,0.0241388,0.255624,0.0241388,420.434,224.497,4.5121,0.231485,1506.41,517.611,-0.105043,0.326086,1180.76,1711.15,
-0.570954,222.312,181.969,222.312,181.969,-0.0572482,1.04658,-0.0572482,1.04658,170.588,434.564,2.2922,-0.989333,381.065,151.658,-0.570954,0.754725,236.189,592.469,
2.02914,784.439,50.1703,784.439,50.1703,-0.600684,-0.886998,-0.600684,-0.886998,736.782,396.2,2.8339,-0.286314,836.517,50.0199,2.02914,-2.22959,874.479,1702.39,
1.95396,102.681,108.508,108.508,102.681,1.69953,-0.396759,-0.396759,1.69953,97.8988,323.653,4.10415,1.30277,603.013,395.766,1.95396,-0.499653,242.954,1807.72,
-1.63289,20.5334,59.7075,59.7075,20.5334,-0.471557,-0.205034,-0.205034,-0.471557,43.8398,67.8549,2.57185,0.266523,646.388,200.66,-1.63289,0.0957325,446.062,1006.72,
-2.05945,33.0022,184.847,184.847,33.0022,-1.42808,0.521488,0.521488,-1.42808,158.97,231.761,2.52958,0.906591,699.695,41.6975,-2.05945,1.1371,659.02,881.851,
-0.0758614,77.05,265.082,265.082,77.05,1.55787,1.24298,1.24298,1.55787,238.5,249.428,2.06353,0.314889,575.085,108.372,-0.0758614,0.855722,478.957,544.789,
1.84749,250.433,132.735,250.433,132.735,0.44612,-0.233108,0.44612,-0.233108,255.266,312.396,1.80107,0.213013,281.173,271.472,1.84749,0.0589355,266.686,742.987,
-1.10253,433.347,328.567,433.347,328.567,1.74681,-1.69689,1.74681,-1.69689,104.811,2178.59,3.14835,0.0499194,144.089,45.0425,-1.10253,0.849163,103.261,243.153,
-2.28348,238.094,136.669,238.094,136.669,-1.84039,-0.37583,-1.84039,-0.37583,101.946,461.795,3.19867,1.46456,224.223,113.498,-2.28348,-0.145145,124.302,517.547,
0.920747,99.3895,172.071,172.071,99.3895,0.0986225,-0.00730137,-0.00730137,0.0986225,217.163,163.471,1.34453,0.0913211,1105.79,212.532,0.920747,-0.625335,1289,872.46,
