b_eta_lead,h_l_pt,h_lbar_pt,h_l_pt_lead,h_l_pt_trail,h_l_eta,h_lbar_eta,h_l_eta_lead,h_l_eta_trail,h_ll_pt,h_ll_m,h_l_abs_diff_phi,h_l_diff_abs_eta,h_b_pt_lead,h_b_pt_trail,h_b_eta_lead,h_b_eta_trail,h_bb_pt,h_bb_m,
-1.28282,196.457,441.093,441.093,196.457,-1.88813,-1.15539,-1.15539,-1.88813,249.872,626.641,3.31465,0.732741,174.126,143.936,-1.28282,-2.34552,89.5769,355.187,
1.64931,90.6527,25.1136,90.6527,25.1136,-2.37847,2.36005,-2.37847,2.36005,72.3209,513.591,2.48925,0.0184112,298.708,267.222,1.64931,-1.5874,156.281,1473.74,
0.89865,300.764,21.1229,300.764,21.1229,-0.947388,1.28644,-0.947388,1.28644,281.518,267.661,3.55162,-0.339055,242.621,222.423,0.89865,-1.10607,48.8245,719,
1.9238,30.8872,168.013,168.013,30.8872,-1.72947,-0.988963,-0.988963,-1.72947,150.82,140.686,2.23963,0.740505,104.096,67.2741,1.9238,-1.09927,82.2063,391.328,
-1.49814,201.456,148.409,201.456,148.409,0.311546,-1.7238,0.311546,-1.7238,55.3196,540.666,3.0508,-1.41225,370.153,254.113,-1.49814,0.310146,116.251,883.287,
0.997849,351.763,86.1137,351.763,86.1137,1.19086,0.739895,1.19086,0.739895,278.554,347,3.62786,0.450964,292.43,290.971,0.997849,0.176261,34.9126,637.492,
0.263919,119.535,47.0049,119.535,47.0049,-0.0464819,0.558993,-0.0464819,0.558993,75.3384,155.51,2.86891,-0.512511,297.025,60.7345,0.263919,0.0514567,251.368,270.374,
0.566875,165.333,31.3151,165.333,31.3151,-0.44723,-0.46189,-0.44723,-0.46189,135.523,142.496,3.4225,-0.0146599,448.656,187.814,0.566875,-0.910922,340.16,715.579,
-1.32993,30.339,382.48,382.48,30.339,2.15826,0.395246,0.395246,2.15826,361.755,293.234,2.35219,1.76301,594.517,56.2916,-1.32993,0.739611,538.799,590.213,
-1.15606,117.014,147.906,147.906,117.014,-1.54317,1.98843,1.98843,-1.54317,53.9936,790.377,3.47981,-0.445254,140.31,84.0522,-1.15606,1.7722,140.158,478.69,
-1.12673,444.384,150.278,444.384,150.278,1.25743,-1.37769,1.25743,-1.37769,299.113,1032.78,3.35289,-0.12026,160.233,41.2399,-1.12673,1.52888,128.98,325.446,
-1.15943,78.3119,112.981,112.981,78.3119,-1.7256,1.63821,1.63821,-1.7256,94.6149,515.695,2.16764,0.0873873,202.742,136.969,-1.15943,2.2851,66.0375,963.23,
-0.375132,228.162,31.1415,228.162,31.1415,0.572294,-1.02233,0.572294,-1.02233,199.783,222.623,3.53694,-0.450035,546.024,95.0791,-0.375132,-0.0948752,451.004,461.344,
-1.83961,82.5257,179.891,179.891,82.5257,-0.953292,2.17886,2.17886,-0.953292,123.713,604.007,3.7787,-1.22556,85.0146,83.3805,-1.83961,1.9225,86.1973,559.09,
0.211714,314.552,112.621,314.552,112.621,-0.246053,1.63204,-0.246053,1.63204,208.981,552.346,3.42854,-1.38599,287.246,266.82,0.211714,0.745032,58.6417,576.582,
0.593604,151.417,221.484,221.484,151.417,1.51872,0.381425,0.381425,1.51872,95.1339,422.213,2.78836,1.13729,205.485,93.5806,0.593604,1.9853,168.516,328.798,
1.22758,225.66,459.182,459.182,225.66,-0.0578352,0.868807,0.868807,-0.0578352,238.753,712.413,2.98703,-0.810971,114.507,69.3219,1.22758,-0.1217,94.9512,205.445,
0.680358,38.987,452.701,452.701,38.987,-0.071781,0.706807,0.706807,-0.071781,417.012,281.262,3.5382,-0.635026,746.293,186.794,0.680358,-0.420542,687.575,767.53,
1.42537,113.962,121.487,121.487,113.962,0.700343,-0.655593,-0.655593,0.700343,7.84246,291.507,3.16037,0.0447501,396.794,85.9422,1.42537,-1.43813,320.694,815.611,
0.702209,263.42,21.5553,263.42,21.5553,0.194639,-2.5374,0.194639,-2.5374,273.344,287.658,1.12839,-2.34276,670.083,59.9897,0.702209,-1.06086,610.975,570.406,
2.01026,209.615,54.6925,209.615,54.6925,-0.498699,1.3088,-0.498699,1.3088,163.382,303.305,3.6311,-0.810098,295.188,233.886,2.01026,-0.511073,147.03,994.82,
-2.41262,161.813,225.165,225.165,161.813,-2.21009,1.01012,1.01012,-2.21009,90.0965,991.113,3.4788,1.19997,200.841,94.0673,-2.41262,1.50655,191.132,983.042,
-2.02418,195.941,419.546,419.546,195.941,-2.36458,-0.641237,-0.641237,-2.36458,224.267,799.629,3.20165,1.72334,135.84,95.8547,-2.02418,-1.21071,44.8703,249.486,
-2.2991,73.6096,59.3638,73.6096,59.3638,-1.55019,0.538103,-1.55019,0.538103,39.8305,207.765,2.57121,1.01209,174.644,155.942,-2.2991,1.44523,97.8377,1095.76,
-1.05998,327.878,189.739,327.878,189.739,-0.597806,0.940505,-0.597806,0.940505,144.971,652.34,3.31814,-0.342698,228.351,55.7312,-1.05998,0.941288,189.841,342.299,
-0.0237144,206.852,169.574,206.852,169.574,-0.0547999,0.195711,-0.0547999,0.195711,331.378,184.655,0.993808,-0.140911,918.785,423.138,-0.0237144,0.275365,564.118,1234.38,
-1.90512,113.553,124.238,124.238,113.553,-2.238,1.78355,1.78355,-2.238,56.0111,901.373,3.60874,0.454455,172.888,57.9209,-1.90512,0.450894,130.493,352.492,
-1.62889,201.118,52.1079,201.118,52.1079,-1.18261,0.0709467,-1.18261,0.0709467,156.74,241.447,2.66213,1.11166,297.256,222.233,-1.62889,0.701866,107.524,902.16,
0.235224,162.346,26.3025,162.346,26.3025,-0.964867,0.335685,-0.964867,0.335685,172.094,119.464,5.01785,0.629182,381.051,155.222,0.235224,-0.752722,232.748,546.4,
-0.217093,239.633,88.9661,239.633,88.9661,1.26754,-0.339906,1.26754,-0.339906,261.438,328.094,1.50012,0.927633,549.892,84.8527,-0.217093,-0.395664,465.641,436.444,
